Outlet_ID,Outlet_Size,Cooler_Count,Outlet_Type
OUT_00179,Large,5,Grocry
OUT_00180,Medium,1,Pharmacy
OUT_00181,Medium,1,Eatery
OUT_00182,small,5,Kiosk
OUT_00183,Small,0,Eatery
OUT_00184,,1,Hotel
OUT_00185,Medium,1,Eatery
OUT_00186,Small,0,Pharmacy
OUT_00187,Small,1,Pharmacy
OUT_00188,Small,1,Grocery
OUT_00189,Medium,1,Grocery
OUT_00190,Small,0,Hotel
OUT_00191,Large,5,Hotel
OUT_00192,Medium,1, Eatery 
OUT_00193,Small,0,SMMT
OUT_00194,Medium,1,Eatery
OUT_00195,Medium,2,Eatery
OUT_00196,Small,1,Hotel
OUT_00197,Medium,2,Bakery
OUT_00198,Small,0,Bakry
OUT_00199,Large,2,Pharmacy
OUT_00200,Medium,1,Grocery
OUT_00201,Medium,2,Eatery
OUT_00202,Medium,2,Bakery
OUT_00203,Small,1,Grocery
OUT_00204,Medium,2,Pharmacy
OUT_00205,Large,4, Eatery 
OUT_00206,Large,5,SMMT
OUT_00207,Small,1,SMMT
OUT_00208,Large,3,SMMT
OUT_00209,Small,1,Bakry
OUT_00210,Medium,1,Grocery
OUT_00211,Small,0,Eatery
OUT_00212,small,5,Bakry
OUT_00213,Large,3,Kiosk
OUT_00214,Extra Large,4,SMMT
OUT_00215,Small,0,Hotel
OUT_00216,Small,0,Kiosk
OUT_00217,Small,0,Grocery
OUT_00218,Small,1,Eatery
OUT_00219,Large,4,Grocery
OUT_00220,Large,2,Hotel
OUT_00221,Large,4,Pharmacy
OUT_00222,Small,1,Pharmacy
OUT_00223,Small,0,Grocery
OUT_00224,Large,3,SMMT
OUT_00225,Medium,1,Eatery
OUT_00226,Small,1,Pharmacy
OUT_00227,small,2,Hotel
OUT_00228,Small,0,Bakery
OUT_00229,Small,1,Bakery
OUT_00230,Small,0,Eatery
OUT_00231,Large,2,Grocery
OUT_00232,Medium,2,Bakery
OUT_00233,Large,2,Pharmacy
OUT_00234,Small,0,Hotel
OUT_00235,Small,0,Kiosk
OUT_00236,Small,1,Eatery
OUT_00237,Large,3,Kiosk
OUT_00238,Small,0,Bakery
OUT_00239,small,0,Hotel
OUT_00240,Small,0,Eatery
OUT_00241,Medium,2,Kiosk
OUT_00242,Small,1,Grocery
OUT_00243,Small,1,Pharmacy
OUT_00244,Small,1,SMMT
OUT_00245,small,1,Eatery
OUT_00246,Extra Large,2,Bakery
OUT_00247,Large,4,Kiosk
OUT_00248,Small,1,Pharmacy
OUT_00249,Large,2,Bakery
OUT_00250,Extra Large,2,Eatery
OUT_00251,Small,1,Kiosk
OUT_00252,Extra Large,3,Grocery
OUT_00253,Small,0,SMMT
OUT_00254,Large,3,Bakery
OUT_00255,Small,0,Kiosk
OUT_00256,Small,0,Hotel
OUT_00257,Extra Large,2,Hotel
OUT_00258,Extra Large,3,Bakery
OUT_00259,Large,4,Pharmacy
OUT_00260,Medium,1,Pharmacy
OUT_00261,Medium,2,Kiosk
OUT_00262,Small,0,Bakry
OUT_00263,Medium,2,Eatery
OUT_00264,Medium,2,Bakery
OUT_00265,Large,4,SMMT
OUT_00266,Medium,2,Pharmacy
OUT_00267,Large,5,Pharmacy
OUT_00268,Small,0,Pharmacy
OUT_00269,Medium,1,Hotel
OUT_00270,Small,0,SMMT
OUT_00271,Small,0,Hotel
OUT_00272,Small,0,Hotel
OUT_00273,Large,2,Pharmacy
OUT_00274,Small,0,Kiosk
OUT_00275,Medium,2,Eatery
OUT_00276,Medium,2,Pharmacy
OUT_00277,Large,5,Bakery
OUT_00278,Small,1,Kiosk
OUT_00279,Extra Large,4,Hotel
OUT_00280,Small,0,Pharmacy
OUT_00281,Small,0,Grocery
OUT_00282,Small,0,Kiosk
OUT_00283,Small,1,Pharmacy
OUT_00284,Medium,1,Grocery
OUT_00285,Small,0,Kiosk
OUT_00286,Medium,1,Grocery
OUT_00287,small,5,Bakery
OUT_00288,Small,0,Eatery
OUT_00289,Small,0,Grocery
OUT_00290,Small,0,Bakery
OUT_00291,Extra Large,4,SMMT
OUT_00292,small,2,SMMT
OUT_00293,Small,0,Eatery
OUT_00294,Small,1,Pharmacy
OUT_00295,Large,3,Pharmacy
OUT_00296,Medium,2,Bakery
OUT_00297,Medium,1,Pharmacy
OUT_00298,Small,0,Pharmacy
OUT_00299,Large,2,Hotel
OUT_00300,Small,0,Pharmacy
OUT_00301,Medium,1,Hotel
OUT_00302,Medium,1,Bakry
OUT_00303,Medium,2,Grocry
OUT_00304,Small,0,Bakery
OUT_00305,Medium,1,Bakery
OUT_00306,Small,0,Eatery
OUT_00307,Small,0,Bakery
OUT_00308,Medium,1,Hotel
OUT_00309,Small,1,Kiosk
OUT_00310,Small,0,Pharmacy
OUT_00311,Small,1,Bakery
OUT_00312,Medium,1,Hotel
OUT_00313,Small,1,SMMT
OUT_00314,Medium,2,Kiosk
OUT_00315,Medium,2,Hotel
OUT_00316,Medium,1,Pharmacy
OUT_00317,small,2,Grocery
OUT_00318,Small,1,Eatery
OUT_00319,Medium,2,Bakery
OUT_00320,Small,0,Kiosk
OUT_00321,Small,0,Bakery
OUT_00322,small,0,Grocery
OUT_00323,Medium,2,Bakery
OUT_00324,Medium,1,Kiosk
OUT_00325,Medium,1,Hotel
OUT_00326,Medium,1,Grocery
OUT_00327,Medium,2,Kiosk
OUT_00328,Small,0,Bakery
OUT_00329,Small,0,Kiosk
OUT_00330,Small,0,Pharmacy
OUT_00331,Medium,1,Grocery
OUT_00332,Small,1,Grocery
OUT_00333,Large,2,SMMT
OUT_00334,Medium,2,Kiosk
OUT_00335,Small,1,Grocery
OUT_00336,Small,0,SMMT
OUT_00337,Small,0,Grocery
OUT_00338,Large,3,SMMT
OUT_00339,Extra Large,2,Kiosk
OUT_00340,Medium,1,Bakery
OUT_00341,Large,5,SMMT
OUT_00342,Small,0,Bakery
OUT_00343,small,2,Hotel
OUT_00344,Small,1,Pharmacy
OUT_00345,Large,2,Hotel
OUT_00346,Small,0,Kiosk
OUT_00347,Large,5,Eatery
OUT_00348,Small,0,SMMT
OUT_00349,Small,0,Pharmacy
OUT_00350,Extra Large,4,Grocery
OUT_00351,Small,0,Kiosk
OUT_00352,Small,0,Hotel
OUT_00353,Medium,1,Kiosk
OUT_00354,Small,0,Pharmacy
OUT_00355,Small,0,Bakery
OUT_00356,Medium,2,SMMT
OUT_00357,Small,1,Eatery
OUT_00358,Small,0,SMMT
OUT_00359,Small,0,Kiosk
OUT_00360,Small,0,Pharmacy
OUT_00361,Extra Large,2,Bakry
OUT_00362,Small,1,Kiosk
OUT_00363,Medium,1,Pharmacy
OUT_00364,Medium,1,Hotel
OUT_00365,Small,0,SMMT
OUT_00366,Small,1,Hotel
OUT_00367,Extra Large,4,SMMT
OUT_00368,Small,0,Eatery
OUT_00369,Small,1,Grocery
OUT_00370,Small,0,Pharmacy
OUT_00371,Small,1,Hotel
OUT_00372,small,1,SMMT
OUT_00373,Small,0,Grocry
OUT_00374,Medium,2,Grocery
OUT_00375,Medium,1,Pharmacy
OUT_00376,Large,4,SMMT
OUT_00377,Medium,2,Hotel
OUT_00378,Medium,2,Bakery
OUT_00379,Large,2,Hotel
OUT_00380,Small,1,SMMT
OUT_00381,Small,1,Grocery
OUT_00382,Small,0,Bakry
OUT_00383,Small,0,Grocery
OUT_00384,Small,1,Bakery
OUT_00385,Medium,1,Eatery
OUT_00386,Large,3,Pharmacy
OUT_00387,Extra Large,2,Kiosk
OUT_00388,small,0,Eatery
OUT_00389,Large,4,Eatery
OUT_00390,Small,0,Kiosk
OUT_00391,Medium,2,Hotel
OUT_00392,Medium,2,Pharmacy
OUT_00393,Small,1,Grocery
OUT_00394,Medium,2,Pharmacy
OUT_00395,Small,0,SMMT
OUT_00396,Small,0,Bakery
OUT_00397,Medium,1,Pharmacy
OUT_00398,Medium,1,Pharmacy
OUT_00399,Medium,1,Kiosk
OUT_00400,Medium,2,Pharmacy
OUT_00401,Small,1,Eatery
OUT_00402,Large,2,Kiosk
OUT_00403,Medium,2,Kiosk
OUT_00404,Small,1,Pharmacy
OUT_00405,Medium,2,Grocery
OUT_00406,Small,0,Bakery
OUT_00407,Small,1,Eatery
OUT_00408,Small,0,Kiosk
OUT_00409,Medium,1,Bakery
OUT_00410,Medium,1,Kiosk
OUT_00411,Small,0,Pharmacy
OUT_00412,Small,1,Hotel
OUT_00413,Large,5,Grocery
OUT_00414,Small,0,SMMT
OUT_00415,Small,0,Bakery
OUT_00416,Medium,2,Pharmacy
OUT_00417,Large,5,Grocry
OUT_00418,Medium,2,Kiosk
OUT_00419,Small,0,SMMT
OUT_00420,Small,0,Pharmacy
OUT_00421,Medium,2,Kiosk
OUT_00422,Medium,1,SMMT
OUT_00423,Large,2,Eatery
OUT_00424,Large,3,Bakery
OUT_00425,Small,0,Grocery
OUT_00426,Medium,1,Pharmacy
OUT_00427,Medium,1,Bakery
OUT_00428,Extra Large,2,Kiosk
OUT_00429,Medium,2,Bakery
OUT_00430,Small,1,Kiosk
OUT_00431,small,1,Hotel
OUT_00432,Extra Large,4,SMMT
OUT_00433,Medium,1,Kiosk
OUT_00434,Extra Large,5,Bakry
OUT_00435,Medium,2,Grocery
OUT_00436,Small,0,Bakery
OUT_00437,Small,0,Grocery
OUT_00438,Medium,2,Eatery
OUT_00439,Medium,2,Bakry
OUT_00440,Small,0,Eatery
OUT_00441,Small,1,Kiosk
OUT_00442,Small,1,SMMT
OUT_00443,Medium,1,Pharmacy
OUT_00444,Medium,1,Kiosk
OUT_00445,Large,4,SMMT
OUT_00446,Small,1,Pharmacy
OUT_00447,Small,0,Pharmacy
OUT_00448,Small,1,Eatery
OUT_00449,Extra Large,4,Grocery
OUT_00450,Large,3,Pharmacy
OUT_00451,Small,0,Kiosk
OUT_00452,Small,1,Grocery
OUT_00453,Medium,2,Pharmacy
OUT_00454,Medium,2,Grocery
OUT_00455,Extra Large,3,Hotel
OUT_00456,Medium,1,Hotel
OUT_00457,Large,5,Grocery
OUT_00458,Small,1,Grocery
OUT_00459,Medium,1,Pharmacy
OUT_00460,Medium,2,Kiosk
OUT_00461,Small,0,Bakery
OUT_00462,Small,1,Eatery
OUT_00463,Large,4,Kiosk
OUT_00464,Small,0,Bakery
OUT_00465,Medium,2,Grocery
OUT_00466,Large,2,Eatery
OUT_00467,Small,0,Grocery
OUT_00468,Large,2,Bakry
OUT_00469,Small,1,Bakery
OUT_00470,Small,0,Kiosk
OUT_00471,Medium,2,Grocery
OUT_00472,Medium,1,Bakery
OUT_00473,Small,0,Eatery
OUT_00474,Small,0,Bakery
OUT_00475,Small,0,SMMT
OUT_00476,Medium,2,Bakery
OUT_00477,Small,0,SMMT
OUT_00478,Medium,1,Pharmacy
OUT_00479,Small,0,Bakery
OUT_00480,small,0,Grocery
OUT_00481,Small,0,Bakery
OUT_00482,Medium,2,Eatery
OUT_00483,Small,0,Grocery
OUT_00484,Small,0,Kiosk
OUT_00485,Medium,1,Grocery
OUT_00486,Medium,2,Kiosk
OUT_00487,Small,0,Pharmacy
OUT_00488,Small,0,Hotel
OUT_00489,Medium,1,Kiosk
OUT_00490,Small,0,Eatery
OUT_00491,Small,1,Hotel
OUT_00492,Large,5,Eatery
OUT_00493,Medium,2,Kiosk
OUT_00494,small,1,Grocery
OUT_00495,Small,1,Bakery
OUT_00496,Small,0,SMMT
OUT_00497,Medium,1,Kiosk
OUT_00498,Medium,1,Kiosk
OUT_00499,Medium,1,Eatery
OUT_00500,Small,0,Bakery
OUT_00501,Medium,1,SMMT
OUT_00502,Medium,1,Grocery
OUT_00503,Large,2,Bakery
OUT_00504,Medium,2,Kiosk
OUT_00505,Small,0,Grocery
OUT_00506,Extra Large,3,Kiosk
OUT_00507,Extra Large,5,SMMT
OUT_00508,Medium,1,Bakry
OUT_00509,Medium,2,Hotel
OUT_00510,Medium,1,Grocry
OUT_00511,Medium,2,Eatery
OUT_00512,,4,Bakry
OUT_00513,Small,0,Bakery
OUT_00514,Small,0,Hotel
OUT_00515,Large,3,SMMT
OUT_00516,Small,0,SMMT
OUT_00517,Medium,1,Hotel
OUT_00518,Medium,2,Eatery
OUT_00519,Small,0,Eatery
OUT_00520,Small,1,Bakery
OUT_00521,Small,0,SMMT
OUT_00522,Small,0,Bakery
OUT_00523,Small,1,Pharmacy
OUT_00524,Small,0,Pharmacy
OUT_00525,Large,3,Pharmacy
OUT_00526,Medium,2, Eatery 
OUT_00527,Medium,1,Grocry
OUT_00528,Medium,2,Eatery
OUT_00529,Medium,2,Grocery
OUT_00530,Large,2,Grocery
OUT_00531,Small,1,SMMT
OUT_00532,Small,1,Hotel
OUT_00533,Small,0,SMMT
OUT_00534,Large,2,Grocery
OUT_00535,,2,Hotel
OUT_00536,Small,0,SMMT
OUT_00537,Small,0,Bakery
OUT_00538,Small,0,Kiosk
OUT_00539,Large,3,Pharmacy
OUT_00540,Small,0,SMMT
OUT_00541,Medium,1,Kiosk
OUT_00542,Small,0,Grocery
OUT_00543,Small,1,Pharmacy
OUT_00544,Small,0,Eatery
OUT_00545,Medium,2,Kiosk
OUT_00546,Medium,2,Grocery
OUT_00547,Small,0,Kiosk
OUT_00548,Small,0,Hotel
OUT_00549,Small,1,SMMT
OUT_00550,Medium,1,SMMT
OUT_00551,Large,4,Grocery
OUT_00552,Small,0, Eatery 
OUT_00553,Medium,1,Kiosk
OUT_00554,Small,0,Kiosk
OUT_00555,Small,0,Grocry
OUT_00556,Medium,1,Bakery
OUT_00557,Small,0,Grocery
OUT_00558,Small,1,Grocery
OUT_00559,Small,0,Bakery
OUT_00560,Medium,1,Hotel
OUT_00561,Small,1,Eatery
OUT_00562,Small,0,Hotel
OUT_00563,Small,1,Eatery
OUT_00564,Small,0,Kiosk
OUT_00565,Medium,2,Bakery
OUT_00566,Small,0,Eatery
OUT_00567,Large,3,Grocery
OUT_00568,Extra Large,5,Hotel
OUT_00569,Small,0,Grocery
OUT_00570,Large,5,Grocery
OUT_00571,,2,Eatery
OUT_00572,Small,0,Grocry
OUT_00573,Large,3,SMMT
OUT_00574,Medium,1,Bakery
OUT_00575,Small,0,Eatery
OUT_00576,Medium,1,Eatery
OUT_00577,Large,5,Kiosk
OUT_00578,Small,0,Grocery
OUT_00579,Extra Large,2,Bakery
OUT_00580,Large,2,Kiosk
OUT_00581,Large,2,Pharmacy
OUT_00582,Medium,1,Hotel
OUT_00583,Small,0,Bakery
OUT_00584,Small,0,Bakery
OUT_00585,Medium,2,Eatery
OUT_00586,Medium,2,Kiosk
OUT_00587,Medium,1,Grocery
OUT_00588,Small,1,SMMT
OUT_00589,Large,3,SMMT
OUT_00590,Medium,1,Grocery
OUT_00591,Large,2,Grocery
OUT_00592,Small,1,Pharmacy
OUT_00593,Small,0,Grocery
OUT_00594,Medium,1,Eatery
OUT_00595,Medium,2,Grocery
OUT_00596,small,1,Hotel
OUT_00597,Small,1,SMMT
OUT_00598,Small,1,SMMT
OUT_00599,Small,1,Hotel
OUT_00600,Large,4,Grocery
OUT_00601,Medium,1,Bakery
OUT_00602,Small,1,Bakery
OUT_00603,Large,4,Kiosk
OUT_00604,Medium,1,Bakery
OUT_00605,Small,1,Pharmacy
OUT_00606,Large,2,Kiosk
OUT_00607,Large,4,Grocery
OUT_00608,Medium,2,SMMT
OUT_00609,Medium,2,Hotel
OUT_00610,Large,2,Grocery
OUT_00611,Small,0,Grocery
OUT_00612,Small,0,Grocery
OUT_00613,Small,1,Bakry
OUT_00614,Large,2,Grocery
OUT_00615,Small,1,Hotel
OUT_00616,Medium,1,Grocery
OUT_00617,Medium,2,Grocery
OUT_00618,Medium,2,Bakery
OUT_00619,Extra Large,4,Grocery
OUT_00620,Medium,2,Hotel
OUT_00621,Medium,1,Bakry
OUT_00622,Small,0,Hotel
OUT_00623,Small,1,Pharmacy
OUT_00624,Medium,2,Grocery
OUT_00625,Medium,1,Grocery
OUT_00626,Large,3,Pharmacy
OUT_00627,Medium,2,Bakery
OUT_00628,Small,0,Hotel
OUT_00629,Medium,1,Bakery
OUT_00630,Small,0,SMMT
OUT_00631,small,0,Bakery
OUT_00632,Small,0,Grocery
OUT_00633,Large,3,SMMT
OUT_00634,Medium,1,Eatery
OUT_00635,Medium,1,Pharmacy
OUT_00636,Medium,1,Grocery
OUT_00637,Medium,2,Bakery
OUT_00638,Medium,2,Eatery
OUT_00639,Large,5,Eatery
OUT_00640,Medium,1,Kiosk
OUT_00641,Small,1,SMMT
OUT_00642,Medium,1,Pharmacy
OUT_00643,Medium,2,Hotel
OUT_00644,Medium,1,Kiosk
OUT_00645,Medium,1,Grocery
OUT_00646,small,3,SMMT
OUT_00647,Small,0,Grocery
OUT_00648,Medium,1,SMMT
OUT_00649,Large,5,SMMT
OUT_00650,Medium,1,SMMT
OUT_00651,Small,0,Hotel
OUT_00652,Medium,2,Eatery
OUT_00653,Small,0,Eatery
OUT_00654,Small,0,Grocery
OUT_00655,Small,0,Bakery
OUT_00656,Medium,1,Grocery
OUT_00657,Small,1,Hotel
OUT_00658,Medium,1,SMMT
OUT_00659,Small,0,Eatery
OUT_00660,Large,4,Eatery
OUT_00661,Medium,1,Grocery
OUT_00662,Medium,2,Eatery
OUT_00663,Medium,1,Hotel
OUT_00664,Small,0,SMMT
OUT_00665,Small,0,Grocry
OUT_00666,Large,5,Eatery
OUT_00667,Medium,2,SMMT
OUT_00668,Small,0,Pharmacy
OUT_00669,Small,0,Bakery
OUT_00670,Medium,2,Bakery
OUT_00671,Medium,1,Pharmacy
OUT_00672,Small,0,Eatery
OUT_00673,Medium,1,Eatery
OUT_00674,Large,3,Bakry
OUT_00675,Small,0,SMMT
OUT_00676,Small,0,Hotel
OUT_00677,Medium,2,Eatery
OUT_00678,Small,0,Bakery
OUT_00679,Small,1,Kiosk
OUT_00680,Medium,2,Bakery
OUT_00681,Small,0,SMMT
OUT_00682,Small,0,Kiosk
OUT_00683,Medium,2,Eatery
OUT_00684,Extra Large,5,Kiosk
OUT_00685,Small,0,SMMT
OUT_00686,Large,5,Pharmacy
OUT_00687,Large,5,SMMT
OUT_00688,Small,1,Grocery
OUT_00689,Extra Large,4,Hotel
OUT_00690,small,0,SMMT
OUT_00691,Extra Large,4,Bakery
OUT_00692,Small,0,Bakery
OUT_00693,Medium,2,SMMT
OUT_00694,Large,2,Hotel
OUT_00695,small,1,Bakery
OUT_00696,Small,0,Bakery
OUT_00697,Medium,1,Bakery
OUT_00698,Large,5,Pharmacy
OUT_00699,Large,4, Eatery 
OUT_00700,Small,0,Grocery
OUT_00701,Small,0,SMMT
OUT_00702,Small,0,Hotel
OUT_00703,Medium,1,Bakery
OUT_00704,Medium,2,Bakry
OUT_00705,Small,0,Pharmacy
OUT_00706,Medium,2,Bakery
OUT_00707,Small,0,Kiosk
OUT_00708,Small,1,SMMT
OUT_00709,Small,1,Bakery
OUT_00710,Medium,1,Grocery
OUT_00711,Small,0,Hotel
OUT_00712,Large,4,Pharmacy
OUT_00713,Small,0,Pharmacy
OUT_00714,Small,1,Pharmacy
OUT_00715,Medium,2,Hotel
OUT_00716,Small,0,Hotel
OUT_00717,Large,3,Pharmacy
OUT_00718,Small,1,Bakery
OUT_00719,Small,1,Pharmacy
OUT_00720,Large,2,SMMT
OUT_00721,small,0,Grocery
OUT_00722,Medium,2,Grocery
OUT_00723,Small,0,Grocery
OUT_00724,Small,1,SMMT
OUT_00725,Small,1,SMMT
OUT_00726,Large,2,Grocery
OUT_00727,Medium,2,Pharmacy
OUT_00728,Large,2,Bakery
OUT_00729,Small,0,Hotel
OUT_00730,Medium,1,Pharmacy
OUT_00731,Large,5, Eatery 
OUT_00732,Medium,2,Kiosk
OUT_00733,Medium,2,SMMT
OUT_00734,Large,3,Grocery
OUT_00735,Small,0,Bakry
OUT_00736,Large,4,Pharmacy
OUT_00737,Large,4,Hotel
OUT_00738,Small,0,Grocery
OUT_00739,Small,1,Hotel
OUT_00740,Medium,1,Kiosk
OUT_00741,Small,0,Pharmacy
OUT_00742,Extra Large,5,Bakery
OUT_00743,,1,Grocery
OUT_00744,Medium,1,Grocry
OUT_00745,Medium,1,Eatery
OUT_00746,Large,3,Eatery
OUT_00747,Medium,1,Grocery
OUT_00748,Small,0,Bakery
OUT_00749,Medium,2,Kiosk
OUT_00750,Medium,2,Eatery
OUT_00751,Small,1,Grocery
OUT_00752,Small,0,Bakery
OUT_00753,Large,5,Eatery
OUT_00754,Small,1,SMMT
OUT_00755,Large,4,Eatery
OUT_00756,Medium,2,Eatery
OUT_00757,Medium,2,Grocery
OUT_00758,Small,1,SMMT
OUT_00759,Small,0,Grocery
OUT_00760,Small,0,Grocery
OUT_00761,Medium,2,Hotel
OUT_00762,Small,0,Grocery
OUT_00763,Small,1,Kiosk
OUT_00764,Medium,1,Bakery
OUT_00765,Small,0,Hotel
OUT_00766,Small,1,Hotel
OUT_00767,Medium,2,Bakery
OUT_00768,Small,0,SMMT
OUT_00769,Medium,1,SMMT
OUT_00770,Small,0,Kiosk
OUT_00771,Medium,1,Grocery
OUT_00772,Medium,2,Pharmacy
OUT_00773,Large,2,Pharmacy
OUT_00774,Small,1,Bakery
OUT_00775,Medium,1,Grocry
OUT_00776,Small,0,Eatery
OUT_00777,small,3,Kiosk
OUT_00778,Extra Large,2,Grocery
OUT_00779,Medium,1,Bakery
OUT_00780,Small,0,Eatery
OUT_00781,Small,1,Eatery
